DNR Peat Inventory ID #,D_Sample #,D_Sampnum,D_Sampnsub,D_Top Depth (cm),D_Bottom Depth (cm),D_Bulk Density (g/cc),D_Moisture Content (%),D_PH H2O,D_PH CaCl2,D_Ash Content (%),D_Uniq_id,D_Depthnum
AITK-2205213-206,1768,1768,,285.0,300.0,0.13,87.3,4.9,4.3,10.2,205,6
AITK-2205213-206,1769,1769,,335.0,350.0,0.14,86.8,5.1,4.5,11.4,206,7
AITK-2205213-206,1770,1770,,385.0,400.0,0.08,91.3,5.4,4.8,7.8,207,8
AITK-2205213-207,1776,1776,,35.0,50.0,0.06,92.6,4.6,4.1,12.5,208,1
AITK-2205213-207,1777,1777,,85.0,100.0,0.07,91.4,3.8,3.2,7.3,209,2
AITK-2205213-207,1778,1778,,135.0,200.0,0.1,90.6,4.5,3.6,5.1,210,3
AITK-2205213-207,1779,1779,,185.0,200.0,0.11,89.1,5.0,4.2,9.6,211,4
AITK-2205213-207,1780,1780,,235.0,250.0,0.15,85.3,4.7,4.4,13.7,212,5
AITK-2205214-200,1715,1715,,35.0,50.0,0.09,91.0,4.3,3.3,12.1,213,1
AITK-2205214-200,1716,1716,,85.0,100.0,0.13,85.8,4.8,4.0,11.2,214,2
AITK-2205214-200,1717,1717,,135.0,150.0,0.16,84.2,5.2,4.5,13.9,215,3
AITK-2205214-200,1718,1718,,170.0,185.0,0.26,77.1,5.6,4.9,41.8,216,4
AITK-2205214-201,1721,1721,,35.0,50.0,0.09,91.1,3.8,2.8,6.3,217,1
AITK-2205214-201,1722,1722,,85.0,100.0,0.1,89.8,3.9,3.0,4.9,218,2
AITK-2205214-201,1723,1723,,135.0,150.0,0.12,88.6,4.4,3.7,7.9,219,3
AITK-2205214-201,1724,1724,,185.0,200.0,0.14,86.3,5.0,4.4,12.8,220,4
AITK-2205214-201,1725,1725,,235.0,250.0,0.17,84.8,5.3,4.6,9.3,221,5
AITK-2205214-201,1726,1726,,261.0,276.0,0.21,81.5,5.4,4.8,16.8,222,6
AITK-2205214-204,1747,1747,,35.0,50.0,0.04,95.0,3.8,2.8,6.4,223,1
AITK-2205214-204,1748,1748,,85.0,100.0,,94.3,3.8,3.0,3.8,224,2
AITK-2205214-204,1749,1749,,135.0,150.0,0.08,91.7,4.3,3.6,5.1,225,3
AITK-2205214-204,1750,1750,,185.0,200.0,0.11,88.9,5.0,4.4,7.0,226,4
AITK-2205214-204,1751,1751,,235.0,250.0,0.1,90.2,5.3,4.6,8.5,227,5
AITK-2205214-204,1752,1752,,285.0,300.0,0.15,85.1,5.4,4.8,12.4,228,6
AITK-2205214-205,1754,1754,,35.0,50.0,0.1,90.1,3.6,2.7,5.8,229,1
AITK-2205214-205,1755,1755,,85.0,100.0,0.09,90.0,3.7,2.8,4.8,230,2
AITK-2205214-205,1756,1756,,135.0,150.0,0.11,89.4,3.9,3.1,4.4,231,3
