DNR Peat Inventory ID #,Profile Description Info,Peat Moisture Info,IRRB Report Name,Profile Described By,Desc_who,Desc_when,DNR Lab Data Available,Prox-Ulti Data Available
CARL-2104933-591,,,,"M. Oberhelman and S. Nelson on July 31, 1984",M. Oberhelman and S. Nelson,"July 31, 1984",N,N
CARL-2104933-592,,,,"S. Nelson and M. Oberhelman on July 31, 1984",S. Nelson and M. Oberhelman,"July 31, 1984",N,N
CARL-2104933-593,,,,"S. Nelson and M. Oberhelman on July 31, 1984",S. Nelson and M. Oberhelman,"July 31, 1984",N,N
CARL-2104933-594,,,,"M. Oberhelman and S. Nelson on June 31, 1984",M. Oberhelman and S. Nelson,"June 31, 1984",N,N
CARL-2104934-595,,0-30cm peat moisture higher than normal,,"M. Oberhelman and S. Nelson on July 31, 1984",M. Oberhelman and S. Nelson,"July 31, 1984",N,N
CARL-2104934-596,,,,"M. Oberhelman and S. Nelson on July 31, 1984",M. Oberhelman and S. Nelson,"July 31, 1984",N,N
CARL-2104934-597,,0-30cm peat moisture higher than normal,,"M. Oberhelman and S. Nelson on July 31, 1984",M. Oberhelman and S. Nelson,"July 31, 1984",N,N
CASS-2514309-404,,,,"H. Mooers and D. Riihiluoma on June 7,1982",H. Mooers and D. Riihiluoma,"June 7,1982",N,N
CASS-2514321-403,,,,"H. Mooers and D. Riihiluoma on June 7, 1982",H. Mooers and D. Riihiluoma,"June 7, 1982",N,N
CASS-2614305-173,,,,"H. Mooers on September 25, 1981",H. Mooers,"September 25, 1981",N,N
CASS-2614404-402,,,,"D. Riihiluoma and S. Nelson on June 2, 1982",D. Riihiluoma and S. Nelson,"June 2, 1982",N,N
CASS-2614408-408,,,,"D. Riihiluoma and H. Mooers on June 7, 1982",D. Riihiluoma and H. Mooers,"June 7, 1982",N,N
CASS-2614408-409,,,,"D. Riihiluoma and H. Mooers on June 7, 1982",D. Riihiluoma and H. Mooers,"June 7, 1982",N,N
CASS-2614417-407,,,,"D. Riihiluoma and H. Mooers on June 7, 1982",D. Riihiluoma and H. Mooers,"June 7, 1982",N,N
CASS-2614428-406,,,,"D. Riihiluoma and H. Mooers on June 7, 1982",D. Riihiluoma and H. Mooers,"June 7, 1982",N,N
CASS-2614429-331,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2614429-332,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2614430-329,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2614430-330,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2614430-333,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2614432-405,,,,"H. Mooers and D. Riihiluoma on June 7, 1982",H. Mooers and D. Riihiluoma,"June 7, 1982",N,N
CASS-2714203-171,,,,"H. Mooers on September 25, 1981",H. Mooers,"September 25, 1981",N,N
CASS-2714314-172,0-180cm and 240-360cm forest peat,,,"H. Mooers on September 25, 1981",H. Mooers,"September 25, 1981",N,N
CASS-2714402-339,,,,"H. Mooers on June 1, 1982",H. Mooers,"June 1, 1982",N,N
CASS-2714411-338,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2714412-336,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2714412-337,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2714413-334,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2714413-335,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2714418-318,,,,"H. Mooers on June 1, 1982",H. Mooers,"June 1, 1982",N,N
CASS-2714422-326,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
CASS-2714425-328,,,,"H. Mooers on June 2, 1982",H. Mooers,"June 2, 1982",N,N
