DNR Peat Inventory ID #,Depthnum,Top Depth (cm),Bottom Depth (cm),Degree of Decomposition,Botanical Origin,Classification,Uniq_id
AITK-2505026-265,2,60.0,,B,,s w/ pebbles,2807
AITK-2505027-264,1,0.0,60.0,H6,RS,Hemic,2808
AITK-2505027-264,2,60.0,,B,,Min.soil,2809
AITK-2505028-233,1,,30.0,H5,RS,Hemic,2810
AITK-2505028-233,2,,60.0,H5,RS,Hemic,2811
AITK-2505028-233,3,,90.0,H4,RS,Hemic,2812
AITK-2505028-233,4,,120.0,H6,RS,Hemic,2813
AITK-2505028-233,5,,150.0,H3,M,Fibric,2814
AITK-2505028-233,6,,180.0,H4,M,Hemic,2815
AITK-2505028-233,7,,240.0,H7,RS,Sapric,2816
AITK-2505028-233,8,270.0,,B,,Limnic,2817
AITK-2505028-233,9,360.0,,,,si,2818
AITK-2505029-232,1,,30.0,H4,RS,Hemic,2819
AITK-2505029-232,2,,60.0,H5,WF/RS,Hemic,2820
AITK-2505029-232,3,,90.0,H4,RS,Hemic,2821
AITK-2505029-232,4,,120.0,H4,RS,Hemic,2822
AITK-2505029-232,5,,150.0,H5,RS,Hemic,2823
AITK-2505029-232,6,,180.0,H5,RS,Hemic,2824
AITK-2505029-232,7,,240.0,H6,RS,Hemic,2825
AITK-2505029-232,8,300.0,,B,,ms,2826
AITK-2505029-234,1,,120.0,H3,M/RS,Fibric,2827
AITK-2505029-234,2,,150.0,H5,RS,Hemic,2828
AITK-2505029-234,3,,180.0,H5,RS,Hemic,2829
AITK-2505029-234,4,0.0,90.0,H4,RS,Hemic,2830
AITK-2505029-234,5,265.0,,B,,fs - ms,2831
AITK-2505030-229,1,,30.0,H6,RS,Hemic,2832
AITK-2505030-229,2,,60.0,H5,RS,Hemic,2833
AITK-2505030-229,3,,90.0,H4,RS,Hemic,2834
AITK-2505030-229,4,115.0,,B,,sil,2835
AITK-2505035-49,1,0.0,,B,,l w/ pebbles,2836
AITK-2505036-266,1,0.0,45.0,H7,,Sapric,2837
AITK-2505036-266,2,45.0,,B,,l w/ pebbles,2838
AITK-2505101-192,1,0.0,30.0,H8,,Sapric,2839
AITK-2505101-192,2,30.0,,U,,"Ice layer, unable to penetrate",2840
AITK-2505102-60,1,0.0,,B,,sicl,2841
AITK-2505102-61,1,0.0,53.0,H7,,Sapric,2842
AITK-2505102-61,2,53.0,80.0,H8/H9,,Sapric,2843
AITK-2505102-61,3,80.0,90.0,B,,sicl,2844
AITK-2505105-219,1,0.0,90.0,H7,RS,Sapric,2845
AITK-2505105-219,2,90.0,,B,,cos & fg,2846
AITK-2505107-89,1,0.0,97.0,H6,RS,Hemic,2847
AITK-2505107-89,2,97.0,140.0,H9,,Sapric,2848
AITK-2505107-89,3,140.0,210.0,H8,,Sapric,2849
AITK-2505107-89,4,210.0,263.0,H5,RS,Hemic,2850
AITK-2505107-89,5,263.0,307.0,H3/H4,RS,Fibric/Hemic,2851
AITK-2505107-89,6,307.0,356.0,H5,RS,Hemic,2852
AITK-2505107-89,7,356.0,377.0,H7,,Sapric,2853
AITK-2505107-89,8,377.0,,B,,cos,2854
AITK-2505107-90,1,0.0,35.0,H6,RS,Hemic,2855
AITK-2505107-90,2,35.0,85.0,H7,,Sapric,2856
AITK-2505107-90,3,85.0,128.0,H9,,Sapric,2857
AITK-2505107-90,4,128.0,154.0,H5,RS,Hemic,2858
AITK-2505107-90,5,154.0,160.0,H6,RS,Hemic,2859
AITK-2505107-90,6,160.0,,B,,cos,2860
AITK-2505107-91,1,0.0,5.0,H4,M,Hemic,2861
AITK-2505107-91,2,5.0,131.0,H6,RS,Hemic,2862
AITK-2505107-91,3,131.0,145.0,H7,,Sapric,2863
AITK-2505107-91,4,145.0,162.0,H8,,Sapric,2864
AITK-2505107-91,5,162.0,187.0,H10,,Sapric,2865
AITK-2505107-91,6,187.0,210.0,H6,RS,Hemic,2866
AITK-2505107-91,7,210.0,239.0,H4,RS,Hemic,2867
AITK-2505107-91,8,239.0,,B,,lcos,2868
AITK-2505111-73,1,0.0,40.0,H6,RS,Hemic,2869
AITK-2505111-73,2,40.0,60.0,H7,,Sapric,2870
AITK-2505111-73,3,60.0,,B,,fsl,2871
AITK-2505111-74,1,0.0,15.0,H6,RS,Hemic,2872
AITK-2505111-74,2,15.0,,B,,sil,2873
AITK-2505114-69,1,0.0,24.0,H6,WF/RS,Hemic,2874
AITK-2505114-69,2,24.0,117.0,H6,RS,Hemic,2875
AITK-2505114-69,3,117.0,129.0,B,,si,2876
AITK-2505114-69,4,129.0,,,,fsl,2877
AITK-2505114-70,1,0.0,163.0,H6,RS,Hemic,2878
AITK-2505114-70,2,163.0,177.0,H7,,Sapric,2879
AITK-2505114-70,3,177.0,228.0,H9,,Sapric,2880
AITK-2505114-70,4,228.0,233.0,B,,Limnic,2881
AITK-2505114-70,5,233.0,,,,fs,2882
AITK-2505114-71,1,0.0,86.0,H6,RS,Hemic,2883
AITK-2505114-71,2,86.0,225.0,H5,RS,Hemic,2884
AITK-2505114-71,3,225.0,,B,,sil,2885
AITK-2505114-72,1,0.0,40.0,H6,RS,Hemic,2886
AITK-2505114-72,2,40.0,76.0,H7,RS,Sapric,2887
AITK-2505114-72,3,76.0,80.0,B,,Highly organic si,2888
AITK-2505114-72,4,80.0,,,,sil,2889
AITK-2505116-218,1,0.0,30.0,,,Sapric,2890
AITK-2505116-218,2,30.0,,B,,si,2891
AITK-2505117-217,1,0.0,150.0,H7,,Sapric,2892
AITK-2505117-217,2,150.0,,B,,si,2893
AITK-2505118-215,1,0.0,180.0,H6,RS,Hemic,2894
AITK-2505118-215,2,180.0,,B,,lms,2895
AITK-2505118-88,1,0.0,10.0,H3,M,Fibric,2896
AITK-2505118-88,2,10.0,21.0,H4,M,Hemic,2897
AITK-2505118-88,3,21.0,74.0,H6,RS,Hemic,2898
AITK-2505118-88,4,74.0,127.0,H7,,Sapric,2899
AITK-2505118-88,5,127.0,142.0,H9,,Sapric w/ sand grains,2900
AITK-2505118-88,6,142.0,,B,,cs,2901
AITK-2505120-216,1,0.0,120.0,H6,RS,Hemic,2902
AITK-2505120-216,2,120.0,,B,,ms - cos,2903
AITK-2505122-204,1,0.0,60.0,H5,RS,Hemic,2904
AITK-2505122-204,2,60.0,120.0,H4,RS,Hemic,2905
AITK-2505122-204,3,120.0,240.0,H7,,Sapric,2906
AITK-2505122-204,4,240.0,270.0,B,,sic,2907
AITK-2505122-204,5,270.0,,,,sicl w/ pebbles,2908
AITK-2505123-202,1,0.0,90.0,H7,RS,Sapric,2909
AITK-2505123-202,2,90.0,,B,,fsl w/ carbonate pebbles,2910
AITK-2505123-62,1,0.0,11.0,H7,,Sapric,2911
AITK-2505123-62,2,11.0,35.0,H6,RS,Hemic,2912
AITK-2505123-62,3,35.0,73.0,H7,,Sapric,2913
AITK-2505123-62,4,73.0,100.0,B,,si,2914
AITK-2505123-63,1,0.0,28.0,H7,,Sapric,2915
AITK-2505123-63,2,28.0,66.0,H6,RS,Hemic,2916
AITK-2505123-63,3,66.0,138.0,H5,RS,Hemic,2917
AITK-2505123-63,4,138.0,200.0,B,,l w/ pebbles,2918
AITK-2505123-64,1,0.0,73.0,H6,RS,Hemic,2919
AITK-2505123-64,2,73.0,148.0,H5,RS,Hemic,2920
AITK-2505123-64,3,148.0,181.0,H6,RS,Hemic,2921
AITK-2505123-64,4,181.0,195.0,H7,,Sapric,2922
AITK-2505123-64,5,195.0,,B,,g,2923
AITK-2505123-65,1,0.0,76.0,H6,,Hemic,2924
AITK-2505123-65,2,76.0,176.0,H5,,Hemic,2925
AITK-2505123-65,3,176.0,181.0,H7,,Sapric,2926
AITK-2505123-65,4,181.0,,B,,sic,2927
AITK-2505123-66,1,0.0,37.0,H6,,Hemic,2928
AITK-2505123-66,2,37.0,135.0,H5,,Hemic,2929
AITK-2505123-66,3,135.0,142.0,B,,si,2930
AITK-2505123-66,4,142.0,,,,fs,2931
AITK-2505124-199,1,0.0,120.0,H7,RS,Sapric,2932
AITK-2505124-199,2,120.0,,B,,sil,2933
AITK-2505124-200,1,0.0,,B,,sil,2934
AITK-2505124-206,1,0.0,90.0,H5,RS,Hemic,2935
AITK-2505124-206,2,90.0,180.0,H3,RS,Fibric,2936
AITK-2505124-206,3,180.0,,B,,si,2937
AITK-2505124-67,1,0.0,60.0,H6,,Hemic,2938
AITK-2505124-67,2,60.0,132.0,H5,,Hemic,2939
AITK-2505124-67,3,132.0,140.0,H6,,Hemic,2940
AITK-2505124-67,4,140.0,145.0,H7,,Sapric,2941
AITK-2505124-67,5,145.0,148.0,B,,sic,2942
AITK-2505124-67,6,148.0,170.0,,,fs,2943
AITK-2505124-68,1,0.0,25.0,H6,,Hemic,2944
AITK-2505124-68,2,25.0,80.0,H7,,Sapric,2945
AITK-2505124-68,3,80.0,85.0,H8,,Sapric,2946
AITK-2505124-68,4,85.0,100.0,B,,fs & si,2947
AITK-2505125-201,1,0.0,90.0,H3,RS,Fibric,2948
AITK-2505125-201,2,90.0,120.0,H4,RS,Hemic,2949
AITK-2505125-201,3,120.0,,B,,fs w/ pebbles,2950
AITK-2505127-203,1,0.0,135.0,H6,RS,Hemic,2951
AITK-2505127-203,2,135.0,,B,,ms - cos,2952
AITK-2505127-205,1,0.0,90.0,H7,RS,Sapric,2953
AITK-2505127-205,2,90.0,180.0,H8,,Sapric,2954
AITK-2505127-205,3,180.0,,B,,fs,2955
AITK-2505129-220,1,,30.0,H4,RS,Hemic,2956
AITK-2505129-220,2,,60.0,H5,RS,Hemic,2957
AITK-2505129-220,3,,90.0,H5,RS,Hemic,2958
AITK-2505129-220,4,115.0,,B,,sl,2959
AITK-2505132-221,1,,30.0,H4,RS,Hemic,2960
AITK-2505132-221,2,,60.0,H4,RS,Hemic,2961
AITK-2505132-221,3,,90.0,H5,RS,Hemic,2962
AITK-2505132-221,4,,120.0,H4,RS,Hemic,2963
AITK-2505132-221,5,,150.0,H4,RS,Hemic,2964
AITK-2505132-221,6,,180.0,H4,RS,Hemic,2965
AITK-2505132-221,7,,210.0,H6,RS,Hemic,2966
AITK-2505132-221,8,,240.0,H7,RS,Sapric,2967
AITK-2505132-221,9,,270.0,H7,RS,Sapric,2968
AITK-2505132-221,10,300.0,,B,,scl,2969
AITK-2505132-222,1,,30.0,H4,RS,Hemic,2970
AITK-2505132-222,2,,60.0,H6,RS,Hemic,2971
AITK-2505132-222,3,70.0,,B,,scl,2972
AITK-2505135-257,1,0.0,210.0,H4,RS,Hemic,2973
AITK-2505135-257,2,210.0,,B,,fs - ms,2974
AITK-2505210-186,1,,30.0,H1,RS,Fibric,2975
AITK-2505210-186,2,,90.0,,,Fibric,2976
AITK-2505210-186,3,,120.0,H5,RS,Hemic,2977
AITK-2505210-186,4,,180.0,H5,RS,Hemic,2978
AITK-2505210-186,5,,210.0,,,Hemic,2979
AITK-2505210-186,6,,240.0,H8,,Sapric,2980
AITK-2505210-186,7,,270.0,,,Sapric,2981
AITK-2505210-186,8,300.0,360.0,B,,Limnic,2982
AITK-2505210-186,9,420.0,730.0,,,Marl w/ shells,2983
AITK-2505212-40,1,0.0,150.0,H5,WF,Hemic,2984
AITK-2505212-40,2,150.0,240.0,H6,WF/RS,Hemic,2985
AITK-2505212-40,3,240.0,330.0,H5,RS,Hemic,2986
AITK-2505212-40,4,330.0,540.0,B,,Limnic,2987
AITK-2505212-40,5,540.0,570.0,,,Limnic w/ clay,2988
AITK-2505212-40,6,570.0,,,,vfs,2989
AITK-2505215-187,1,,60.0,H3,RS,Fibric,2990
AITK-2505215-187,2,,120.0,H4,RS,Hemic,2991
AITK-2505215-187,3,,180.0,H4,RS,Hemic,2992
AITK-2505215-187,4,,240.0,H5,RS,Hemic,2993
AITK-2505215-187,5,,300.0,H3,RS,Fibric,2994
AITK-2505215-187,6,,360.0,H3,RS,Fibric,2995
AITK-2505215-187,7,420.0,,B,,Limnic,2996
AITK-2505215-187,8,480.0,,,,Marl w/ shells,2997
AITK-2505215-39,1,0.0,90.0,H8,,Sapric,2998
AITK-2505215-39,2,90.0,180.0,H3,RS,Fibric,2999
AITK-2505215-39,3,180.0,360.0,H5,RS,Hemic,3000
AITK-2505215-39,4,360.0,780.0,B,,Limnic w/ snails,3001
AITK-2505215-39,5,810.0,,,,si w/ c,3002
AITK-2505217-185,1,,30.0,H5,WF/RS,Hemic,3003
AITK-2505217-185,2,,60.0,H4,,Hemic,3004
AITK-2505217-185,3,,90.0,H4,RS,Hemic,3005
AITK-2505217-185,4,,120.0,H3,RS,Fibric,3006
AITK-2505217-185,5,,180.0,H8,,Sapric,3007
AITK-2505217-185,6,,240.0,H5,RS,Hemic,3008
AITK-2505217-185,7,,270.0,H6,,Hemic,3009
AITK-2505217-185,8,300.0,360.0,B,,Marl w/ shells,3010
AITK-2505217-185,9,420.0,,,,si,3011
AITK-2505220-184,1,,90.0,H3,RS,Fibric,3012
AITK-2505220-184,2,,120.0,H6,RS,Hemic,3013
AITK-2505220-184,3,150.0,180.0,B,,Marl w/ shells,3014
AITK-2505222-93,1,0.0,120.0,H6,RS,Hemic,3015
AITK-2505222-93,2,120.0,145.0,H5,RS,Hemic,3016
AITK-2505222-93,3,145.0,175.0,H6,RS,Hemic,3017
AITK-2505222-93,4,175.0,179.0,H7,RS,Sapric,3018
AITK-2505222-93,5,179.0,,B,,fs - ms,3019
AITK-2505223-188,1,,30.0,H5,RS,Hemic,3020
AITK-2505223-188,2,,60.0,H5,WF/RS,Hemic,3021
AITK-2505223-188,3,90.0,,B,,cl,3022
AITK-2505224-179,1,0.0,90.0,H7,RS,Sapric,3023
AITK-2505224-179,2,90.0,,B,,fs,3024
AITK-2505224-92,1,0.0,30.0,H7,,Sapric w/ sand,3025
AITK-2505224-92,2,30.0,39.0,B,,fs w/ peat & calcareous pebbles,3026
AITK-2505224-92,3,39.0,75.0,,,fs,3027
AITK-2505227-177,1,0.0,60.0,H7,RS,Sapric,3028
AITK-2505227-177,2,60.0,90.0,H4,RS,Hemic,3029
AITK-2505227-177,3,90.0,150.0,H7,RS,Sapric,3030
AITK-2505227-177,4,150.0,,B,,c,3031
AITK-2505227-178,1,0.0,120.0,H2,M,Fibric,3032
AITK-2505227-178,2,120.0,360.0,B,,Limnic,3033
AITK-2505227-178,3,360.0,570.0,,,Limnic w/ snails; appears marly,3034
AITK-2505227-178,4,570.0,,,,c,3035
AITK-2505229-183,1,,60.0,H5,RS,Hemic,3036
AITK-2505229-183,2,,120.0,H7,,Sapric,3037
AITK-2505229-183,3,,150.0,H7,,Sapric,3038
AITK-2505229-183,4,180.0,,B,,cl,3039
AITK-2505231-190,1,0.0,30.0,B,,c,3040
AITK-2505231-190,2,60.0,,,,fs,3041
AITK-2505231-76,1,0.0,32.0,H9,,Sapric w/ Min.soil,3042
AITK-2505231-76,2,32.0,34.0,B,,sil,3043
AITK-2505231-76,3,34.0,61.0,,,Min.soil w/ Sapric peat,3044
AITK-2505231-76,4,61.0,,,,ms,3045
AITK-2505231-77,1,0.0,62.0,,,Observed road cut- peat & sand mixed,3046
AITK-2505231-77,2,62.0,120.0,H8,,Sapric,3047
AITK-2505231-77,3,120.0,121.0,,,fs layer,3048
AITK-2505231-77,4,121.0,129.0,H8,,Sapric,3049
AITK-2505231-77,5,129.0,130.0,,,fs layer,3050
AITK-2505231-77,6,130.0,150.0,H8,,Sapric,3051
AITK-2505231-77,7,150.0,152.0,,,fs layer,3052
AITK-2505231-77,8,152.0,161.0,H8,,Sapric,3053
AITK-2505231-77,9,161.0,164.0,,,fs layer,3054
AITK-2505231-77,10,164.0,169.0,H8,,Sapric,3055
AITK-2505231-77,11,169.0,172.0,H7,RS,Sapric,3056
AITK-2505231-77,12,172.0,178.0,H8,,Sapric,3057
AITK-2505231-77,13,178.0,182.0,,,fs layer,3058
AITK-2505231-77,14,182.0,191.0,H8,,Sapric w/ fine sand,3059
AITK-2505231-77,15,191.0,192.0,,,fs layer,3060
AITK-2505231-77,16,198.0,226.0,H8,,Sapric w/ fine sand,3061
AITK-2505231-77,17,226.0,227.0,,,fs layer,3062
AITK-2505231-77,18,227.0,231.0,H8,,Sapric,3063
AITK-2505231-77,19,231.0,233.0,,,fs layer,3064
AITK-2505231-77,20,233.0,242.0,H8,,Sapric,3065
AITK-2505231-77,21,242.0,,B?,,ms,3066
AITK-2505231-77A,1,0.0,48.0,,,Peat w/ Min.soil,3067
AITK-2505231-77A,2,48.0,84.0,B,,ms,3068
AITK-2505232-189,1,,60.0,H7,,Sapric,3069
AITK-2505232-189,2,,120.0,H7,,Sapric,3070
AITK-2505232-189,3,180.0,,B,,fs,3071
AITK-2505232-75A,1,0.0,109.0,H9,,Sapric,3072
AITK-2505232-75A,2,109.0,157.0,H7,,Sapric,3073
AITK-2505232-75A,3,157.0,179.0,H6,,Hemic,3074
AITK-2505232-75A,4,179.0,211.0,H5,RS,Hemic,3075
AITK-2505232-75A,5,211.0,243.0,H3,RS,Fibric,3076
AITK-2505232-75A,6,243.0,262.0,H7,,Sapric,3077
AITK-2505232-75A,7,262.0,274.0,B,,lfs,3078
AITK-2505232-75A,8,274.0,282.0,,,ms,3079
AITK-2505232-75A,9,282.0,,,,ls,3080
AITK-2505234-176,1,0.0,195.0,H8,,Sapric,3081
AITK-2505234-176,2,195.0,,B,,ms,3082
AITK-2505235-175,1,0.0,120.0,H8,,Sapric,3083
AITK-2505235-175,2,120.0,210.0,H7,RS,Sapric,3084
AITK-2505235-175,3,210.0,,B,,ms,3085
AITK-2505236-174,1,0.0,120.0,H6,RS,Hemic,3086
AITK-2505236-174,2,120.0,150.0,H4,RS,Hemic,3087
AITK-2505236-174,3,150.0,195.0,H7,RS,Sapric,3088
AITK-2505236-174,4,195.0,,B,,ms - cos,3089
AITK-2604506-338,1,0.0,60.0,H5,RS,Hemic,3090
AITK-2604506-338,2,60.0,120.0,H6,RS,Hemic,3091
AITK-2604506-338,3,120.0,150.0,H5,RS,Hemic,3092
AITK-2604506-338,4,150.0,,B,,si,3093
AITK-2604507-339,1,0.0,150.0,H6,RS,Hemic,3094
AITK-2604507-339,2,150.0,270.0,H7,RS,Sapric,3095
AITK-2604507-339,3,270.0,,B,,si,3096
AITK-2604511-99,1,0.0,90.0,H6,RS,Hemic,3097
AITK-2604511-99,2,90.0,,B,,fs,3098
AITK-2604513-345,1,0.0,60.0,H6,RS,Hemic,3099
AITK-2604513-345,2,60.0,,B,,ms,3100
AITK-2604514-343,1,0.0,45.0,H5,RS,Hemic,3101
AITK-2604514-343,2,45.0,,B,,ms,3102
AITK-2604515-342,1,0.0,60.0,H5,RS,Hemic,3103
AITK-2604515-342,2,60.0,,B,,fs - ms,3104
AITK-2604522-98,1,0.0,30.0,,,"Peat - frost, no sample recovered",3105
AITK-2604522-98,2,30.0,,B,,fs,3106
AITK-2604631-333,1,0.0,90.0,H6,RS,Hemic,3107
AITK-2604631-333,2,90.0,,B,,si,3108
AITK-2604702-116,1,0.0,60.0,H7,,Sapric,3109
AITK-2604702-116,2,60.0,,B,,si,3110
AITK-2604702-311,1,,30.0,H4,RS,Hemic,3111
AITK-2604702-311,2,,60.0,H5,,Hemic,3112
AITK-2604702-311,3,90.0,,B,,fs,3113
AITK-2604711-319,1,0.0,30.0,H5,RS/WF,Hemic,3114
AITK-2604711-319,2,30.0,90.0,H5,RS,Hemic,3115
AITK-2604711-319,3,90.0,135.0,H6,RS,Hemic,3116
AITK-2604711-319,4,135.0,,B,,si w/ c,3117
AITK-2604714-325,1,0.0,120.0,,RS,Hemic,3118
AITK-2604714-325,2,120.0,,B,,Min.soil,3119
AITK-2604715-318,1,0.0,60.0,H5,RS,Hemic,3120
AITK-2604715-318,2,60.0,,B,,fs,3121
AITK-2604715-320,1,0.0,90.0,H4,RS,Hemic,3122
AITK-2604715-320,2,90.0,150.0,H3,RS,Fibric,3123
AITK-2604715-320,3,150.0,180.0,H4,RS,Hemic,3124
AITK-2604715-320,4,180.0,,B,,vfs,3125
AITK-2604722-321,1,0.0,60.0,H4,RS,Hemic,3126
AITK-2604722-321,2,60.0,330.0,H3,RS,Fibric,3127
AITK-2604722-321,3,330.0,360.0,H4,RS,Hemic,3128
AITK-2604722-321,4,360.0,,B,,vfsl,3129
AITK-2604722-322,1,0.0,120.0,H4,RS/WF,Hemic,3130
AITK-2604722-322,2,120.0,210.0,H3,RS/WF,Fibric,3131
AITK-2604722-322,3,210.0,270.0,H3,RS,Fibric,3132
AITK-2604722-322,4,270.0,330.0,H4,RS,Hemic,3133
AITK-2604722-322,5,330.0,480.0,H6,RS,Hemic,3134
AITK-2604722-322,6,480.0,510.0,H7,RS,Sapric w/ Limnic,3135
AITK-2604722-322,7,510.0,,B,,sl,3136
AITK-2604722-323,1,0.0,270.0,H3,RS/M,Fibric,3137
AITK-2604722-323,2,270.0,510.0,H4,RS,Hemic,3138
AITK-2604722-323,3,510.0,570.0,H6,RS,Hemic,3139
AITK-2604722-323,4,570.0,,B,,si,3140
AITK-2604723-324,1,0.0,60.0,H5,RS,Hemic,3141
AITK-2604723-324,2,60.0,120.0,H4,RS,Hemic,3142
AITK-2604723-324,3,120.0,,B,,sil w/ pebbles,3143
AITK-2604804-290,1,0.0,30.0,H2,M,Fibric,3144
AITK-2604804-290,2,30.0,210.0,H5,RS,Hemic,3145
AITK-2604804-290,3,210.0,270.0,H4,RS,Hemic,3146
AITK-2604804-290,4,270.0,330.0,B,,Limnic,3147
AITK-2604804-290,5,330.0,,,,sil,3148
AITK-2604804-291,1,0.0,30.0,H2,M,Fibric,3149
AITK-2604804-291,2,30.0,60.0,H7,RS,Sapric,3150
AITK-2604804-291,3,60.0,90.0,H6,RS/WF,Hemic,3151
AITK-2604804-291,4,90.0,150.0,H7,RS,Sapric,3152
AITK-2604804-291,5,150.0,210.0,H3,RS,Fibric,3153
AITK-2604804-291,6,210.0,300.0,H7,RS,Sapric,3154
AITK-2604804-291,7,300.0,,B,,sil,3155
AITK-2604804-557,1,0.0,45.0,H2,M,Fibric,3156
AITK-2604804-557,2,45.0,150.0,H7,RS,Sapric,3157
AITK-2604804-557,3,150.0,315.0,H6,RS,Hemic,3158
AITK-2604804-557,4,315.0,,B,,sil,3159
AITK-2604804-558,1,0.0,45.0,H4/H5,M,Hemic,3160
AITK-2604804-558,2,45.0,90.0,H6,RS,Hemic,3161
AITK-2604804-558,3,90.0,120.0,H7,,Sapric,3162
AITK-2604804-558,4,120.0,150.0,H8,,Sapric,3163
AITK-2604804-558,5,150.0,,B,,l,3164
AITK-2604804-559,1,0.0,90.0,H3,M,Fibric,3165
AITK-2604804-559,2,90.0,120.0,H7,RS/M,Sapric,3166
AITK-2604804-559,3,120.0,150.0,H6,RS/WF,Hemic,3167
AITK-2604804-559,4,150.0,210.0,H7,,Sapric,3168
AITK-2604804-559,5,210.0,,B,,sl,3169
AITK-2604805-292,1,0.0,90.0,H5,RS w/ WF at 60cm,Hemic,3170
AITK-2604805-292,2,90.0,150.0,H6,RS,Hemic,3171
AITK-2604805-292,3,150.0,210.0,B,,Limnic w/ sand,3172
AITK-2604805-292,4,210.0,,,,sil,3173
AITK-2604805-294,1,0.0,60.0,H4,RS,Hemic,3174
AITK-2604805-294,2,60.0,,B,,l,3175
AITK-2604805-58,1,,60.0,H6,RS,Hemic,3176
AITK-2604805-58,2,,120.0,H6,RS,Hemic,3177
AITK-2604805-58,3,150.0,195.0,B,,Limnic,3178
AITK-2604805-58,4,195.0,,,,fs,3179
AITK-2604806-59,1,0.0,120.0,H8,,Sapric,3180
AITK-2604806-59,2,120.0,135.0,B,,ms - cos,3181
AITK-2604806-59,3,135.0,,,,si,3182
AITK-2604807-295,1,0.0,150.0,H5,RS,Hemic,3183
AITK-2604807-295,2,150.0,180.0,H7,,Sapric,3184
AITK-2604807-295,3,210.0,,B,,l,3185
AITK-2604808-550,1,0.0,105.0,H7/H8,,Sapric,3186
AITK-2604808-550,2,105.0,,B,,si,3187
AITK-2604808-551,1,0.0,105.0,H7,,Sapric,3188
AITK-2604808-551,2,105.0,120.0,H8/H9,,Sapric,3189
AITK-2604808-551,3,120.0,,B,,sl,3190
AITK-2604808-552,1,0.0,105.0,H7,,Sapric,3191
AITK-2604808-552,2,105.0,120.0,H8/H9,,Sapric,3192
AITK-2604808-552,3,120.0,,B,,sl,3193
AITK-2604808-553,1,0.0,90.0,H7,,Sapric,3194
AITK-2604808-553,2,90.0,150.0,H5,RS,Hemic,3195
AITK-2604808-553,3,150.0,180.0,H6,RS,Hemic,3196
AITK-2604808-553,4,180.0,210.0,H8,,Sapric w/ Min.soil,3197
AITK-2604808-553,5,210.0,,B,,sil,3198
AITK-2604813-331,1,0.0,60.0,H4,RS,Hemic,3199
AITK-2604813-331,2,60.0,,B,,sl,3200
AITK-2604820-301,1,,30.0,H6,RS,Hemic,3201
AITK-2604820-301,2,,60.0,H5,WF/RS,Hemic,3202
AITK-2604820-301,3,,90.0,H5,,Hemic,3203
AITK-2604820-301,4,,120.0,H4,M/RS,Hemic,3204
AITK-2604820-301,5,,150.0,H4,,Hemic,3205
AITK-2604820-301,6,180.0,270.0,H6,,Hemic,3206
AITK-2604820-301,7,330.0,360.0,B,,Limnic w/ clay,3207
AITK-2604820-301,8,360.0,390.0,,,Limnic,3208
AITK-2604820-301,9,390.0,,,,ms,3209
AITK-2604820-302,1,,30.0,H5,RS,Hemic,3210
AITK-2604820-302,2,,60.0,H5,RS/M,Hemic,3211
AITK-2604820-302,3,,90.0,H6,RS,Hemic,3212
AITK-2604820-302,4,,120.0,H6,RS,Hemic,3213
AITK-2604820-302,5,,155.0,H7,RS,Sapric,3214
AITK-2604820-302,6,155.0,165.0,B,,Limnic,3215
AITK-2604820-302,7,165.0,,,,scl,3216
AITK-2604823-332,1,0.0,180.0,H4,RS,Hemic,3217
AITK-2604823-332,2,180.0,,B,,msl,3218
AITK-2604823-61,1,0.0,60.0,H6,RS,Hemic,3219
AITK-2604823-61,2,60.0,,B,,l,3220
AITK-2604829-310,1,,30.0,H4,RS,Hemic,3221
AITK-2604829-310,2,,60.0,H4,RS/WF,Hemic,3222
AITK-2604829-310,3,,90.0,H8,,Sapric,3223
AITK-2604829-310,4,120.0,,B,,fs,3224
AITK-2604830-310A,1,0.0,45.0,,,Hemic,3225
AITK-2604830-310A,2,45.0,,B,,Min.soil,3226
AITK-2604831-309,1,,30.0,H4,WF/RS,Hemic,3227
AITK-2604831-309,2,,60.0,H4,RS,Hemic,3228
AITK-2604831-309,3,,90.0,H4,,Hemic,3229
AITK-2604831-309,4,,120.0,H3,RS/M,Fibric,3230
AITK-2604831-309,5,,150.0,H3,RS/M,Fibric,3231
AITK-2604831-309,6,,180.0,H3,,Fibric,3232
AITK-2604831-309,7,,210.0,H3,,Fibric,3233
AITK-2604831-309,8,,240.0,H6,,Hemic,3234
AITK-2604831-309,9,270.0,300.0,B,,Limnic w/ plant fibers,3235
AITK-2604831-309,10,300.0,330.0,,,Limnic,3236
AITK-2604831-309,11,330.0,,,,Limnic w/ si,3237
AITK-2604903-231,1,,30.0,H3,M,Fibric,3238
AITK-2604903-231,2,,60.0,H2/H3,M,Fibric,3239
AITK-2604903-231,3,,90.0,H2/H3,M/RS,Fibric,3240
AITK-2604903-231,4,,120.0,H2/H3,M/RS,Fibric,3241
AITK-2604903-231,5,,150.0,H2,M/RS,Fibric,3242
AITK-2604903-231,6,,180.0,H3,M,Fibric,3243
AITK-2604903-231,7,210.0,540.0,B,,Limnic,3244
AITK-2604903-231,8,765.0,,,,s,3245
AITK-2604921-50,1,0.0,120.0,H8,,Sapric,3246
AITK-2604921-50,2,120.0,165.0,H6,RS,Hemic,3247
AITK-2604921-50,3,165.0,,B,,s & g,3248
AITK-2604931-60,1,0.0,150.0,H6,RS,Hemic,3249
