DNR Peat Inventory ID #,Peatland Name,Additional Site Info,Landform Pattern,Peatland Classification,Site Vegetation,Surface Microrelief,Depth to Water Table,Measured Elevation
KOOC-2606413-575,Myrtle Lake,Lake Agassiz National Natural Landmark,,Transition,Black spruce forest with 35% cover; sparse tamarack. Understory includes many ericaceous shrubs (leatherleaf*); few shrubs (bog birch) Few sphagnum and feathermosses.,25cm,,
KOOC-2606419-571,,,,Disturbed forested bog (near cut area),Black spruce forest with 60% cover; sparse paper birch. Understory includes some ericaceous shrubs; few shrubs (speckled alder) and forbs (bunchberry). Discontinuous sphagnum carpet.,25cm,10cm,
KOOC-2606421-573,Myrtle Lake,Lake Agassiz National Natural Landmark,,,"Scattered tamarack; sparse black spruce and northern white cedar. Understory includes some shrubs (bog birch, speckled alder, willow, dogwood) and ericaceous shrubs; few sedges.",10cm,,
KOOC-2606430-572,,,,Open bog,Sparse black spruce. Understory includes some ericaceous shrubs. Discontinuous sphagnum carpet with a few feathermosses.,25cm,,
KOOC-2606431-584,,,,Bog,"Scattered black spruce; sparse tamarack. Understory includes few ericaceous shrubs, sedges, and bog forbs. Discontinuous sphagnum carpet with a few other mosses.",35cm,20cm,
KOOC-2606436-595,,,,Open fen - shrub fen,"Sparse black spruce. Understory includes some shrubs (bog birch, willow, speckled alder), sedges, and grasses; few forbs (ferns). Some sphagnum mosses and a few other mosses.",20cm,At surface,
KOOC-2606502-483,,,,Disturbed (cut over),Sparse black spruce and tamarack. Understory includes some ericaceous shrubs; few shrubs (speckled alder). Discontinuous moss carpet with a few sphagnum mosses.,60cm,Not visible,
KOOC-2606504-484,,,,Forested bog,Black spruce forest with 60% cover; sparse tamarack. Understory includes some ericaceous shrubs. Discontinuous sphagnum carpet.,25cm,,
KOOC-2606507-485,,,,Open bog,Sparse black spruce and tamarack. Understory includes some ericaceous shrubs; few sedges. Continuous sphagnum carpet.,60cm,60cm,
KOOC-2606519-565,,,,,Sparse tamarack and black spruce. Understory dominated by sedges; few cotton grass and ericaceous shrubs. Discontinuous sphagnum carpet with a few other mosses.,35cm,15cm,
KOOC-2606529-568,,,,Disturbed bog (near ditch),Scattered black spruce; sparse aspen and tamarack. Understory includes many ericaceous shrubs (leatherleaf*); some grasses and shrubs (willow). Discontinuous sphagnum carpet with a few other mosses.,30cm,At surface,
KOOC-2606530-566,,,Raised bog,Bog,Scattered black spruce; sparse tamarack. Understory includes many ericaceous shrubs (leatherleaf*). Some grasses; few shrubs (willow) and cotton grass. Discontinuous sphagnum carpet with a few feather mosses.,60cm,At surface,
KOOC-2606533-567,,,,Forested bog,Black spruce forest with 60% cover. Understory includes many ericaceous shrubs (leatherleaf*). Discontinuous sphagnum carpet with a few feathermosses.,30cm,8cm,
KOOC-2606604-477,,,Patterned fen,Treed shrub fen,Stunted tamarack. Understory dominated by shrubs (bog birch) and grasses; many ericaceous shrubs (leatherleaf*).,Negligible,At surface,
KOOC-2606605-475,,,,Forested swamp,"Northern white cedar forest. Understory includes some grasses; few shrubs (bog birch), forbs, and ericaceous shrubs.",60cm,At surface,
KOOC-2606608-476,,,,,"Dense tamarack forest. Sparse black spruce, northern white cedar, and black ash. Understory includes some ericaceous shrubs; few shrubs (speckled alder, willow), and sedges, some sphagnum mosses and a few feathermosses.",20cm,At surface,
KOOC-2606611-479,,,,,Sparse black spruce. Understory dominated by sedges; few ericaceous shrubs. Continuous sphagnum carpet.,15cm,At surface,
KOOC-2606612-469,,,,,"Black spruce forest with 60% cover; sparse tamarack. Understory includes few shrubs (speckled alder, bog birch), and ericaceous shrubs Some sphagnum mosses.",20cm,At surface,
KOOC-2606614-481,,,Watertrack,Sphagnum-rich open fen,Sparse black spruce and tamarack. Understory dominated by sedges; few ericaceous shrubs and shrubs (bog birch). Continuous sphagnum carpet.,8cm,At surface,
KOOC-2606616-478,,,,,"Sparse black spruce, tamarack, and paper birch. Understory includes some grasses; few ericaceous shrubs and shrubs (speckled alder). Continuous sphagnum carpet.",15cm,15cm above surface,
KOOC-2606623-480,,,,,Sparse black spruce and paper birch. Understory includes some ericaceous shrubs. Discontinuous sphagnum carpet with a few sphagnum mosses.,60cm,,
KOOC-2606635-482,,,,Disturbed (cutover),Sparse black spruce and paper birch. Understory includes some ericaceous shrubs; few shrubs (speckled alder). Continuous sphagnum carpet.,15cm,,
KOOC-2606703-11,Wisner Trail,,Raised bog,Bog,Scattered black spruce. Understory includes few ericaceous shrubs and sedges. Discontinuous sphagnum carpet.,45cm,At surface,
KOOC-2606703-12,Wisner Trail,,,Forested bog,Black spruce forest with 80% cover. Understory includes a few ericaceous shrubs. Continuous sphagnum carpet with a few other mosses.,30cm,At surface,
KOOC-2606704-10,Wisner Trail,,Raised bog,Open bog,Sparse black spruce. Understory includes few ericaceous shrubs. Continuous sphagnum carpet.,30cm,At surface,
KOOC-2606704-9,Wisner Trail,,,Forested bog,Black spruce forest with 35% cover. Understory includes some ericaceous shrubs; few sedges. Discontinuous sphagnum carpet with a few other mosses.,30cm,At surface,
KOOC-2606713-36,Wisner Trail,,Raised bog,Open bog,Sparse black spruce. Understory includes many sedges; some ericaceous shrubs. Continuous sphagnum carpet.,30cm,At surface,
KOOC-2606713-37,Wisner Trail,,Raised bog,Open bog,Sparse black spruce. Understory includes many sedges; some ericaceous shrubs. Continuous sphagnum carpet.,40cm,At surface,
KOOC-2606713-38,Wisner Trail,,Raised bog,Bog,Scattered black spruce. Understory includes some ericaceous shrubs and sedges. Continuous sphagnum carpet.,45cm,At surface,
KOOC-2606714-27,Wisner Trail,,Crested raised bog,Open bog,Sparse black spruce. Understory dominated by sedges; few ericaceous shrubs. Continuous sphagnum carpet.,40cm,At surface,
KOOC-2606714-29,Wisner trail,,Crested raised bog,Forested bog,Black spruce with 30% cover. Understory includes many sedges; few ericaceous shrubs. Continuous sphagnum carpet.,20cm,At surface,
KOOC-2606714-30,Wisner Trail,,Crested raised bog,Open bog - bog,Scattered stunted black spruce. Understory dominated by sedges; few ericaceous shrubs. Continuous sphagnum carpet.,45cm,At surface,
KOOC-2606714-31,Wisner Trail,,Edge of crested raised bog,Open bog,Sparse black spruce. Understory dominated by sedges; some ericaceous shrubs. Continuous sphagnum carpet.,35cm,At surface,
KOOC-2606714-35,Wisner Trail,,Crested raised bog,Bog,Scattered black spruce; sparse tamarack. Understory includes few ericaceous shrubs and sedges. Continuous sphagnum carpet.,25cm,At surface,
KOOC-2606714-70,Wisner Trail,,Edge of crested raised bog,,Sparse black spruce. Understory dominated by grasses; few ericaceous shrubs. Continuous sphagnum carpet.,30cm,At surface,
KOOC-2606714-D-1,South Wisner,South Wisner Peatland Preliminary Survey,Edge of crested raised bog,Forested bog,Black spruce with 65% cover.,,,
KOOC-2606714-D-15,South Wisner,South Wisner Peatland Preliminary Survey,Edge of crested raised bog,Forested bog,Black spruce forest with 65% cover.,,,
KOOC-2606714-D-17,South Wisner,South Wisner Peatland Preliminary Survey,,Forested bog,Black spruce with 45% cover.,,,
KOOC-2606714-D-2,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 75% cover.,,,
KOOC-2606714-D-21,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 60% cover.,,,
KOOC-2606714-D-22,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce with 65% cover.,,,
KOOC-2606714-D-23,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce with 65% cover.,,,
KOOC-2606714-D-3,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce with 65% cover.,,,
KOOC-2606714-D-4,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 75% cover.,,,
KOOC-2606714-D-5,South Wisner,South Wisner Peatland Preliminary Survey,Edge of crested raised bog,Forested bog,Black spruce forest with 70% cover.,,,
KOOC-2606715-26,Wisner Trail,,Crested raised bog,Forested bog,Stunted black spruce with 35% cover. Understory includes sedges; few ericaceous shrubs. Continuous sphagnum carpet.,40cm,,
KOOC-2606715-28,Wisner Trail,,Crested raised bog,Forested bog,Black spruce forest with 35% cover. Understory includes many ericaceous shrubs (leatherleaf*) and sedges. Continuous sphagnum carpet.,25cm,At surface,
KOOC-2606715-32,Wisner Trail,,,Bog,Scattered black spruce. Understory includes some sedges; few ericaceous shrubs. Continuous sphagnum carpet.,25cm,At surface,
KOOC-2606715-33,Wisner Trail,,Crested raised bog,Open bog,Sparse black spruce. Understory includes few ericaceous shrubs and sedges. Continuous sphagnum carpet.,35cm,At surface,
KOOC-2606715-34,Wisner Trail,,Crested raised bog,Forested bog,Black spruce with 30% cover. Understory includes few sedges and ericaceous shrubs. Continuous sphagnum carpet.,25cm,At surface,
KOOC-2606715-D-14,South Wisner,South Wisner Peatland Preliminary Survey,,Forested bog,Black spruce with 45% cover.,,,
KOOC-2606715-D-16,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 65% cover.,,,
KOOC-2606715-D-18,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 70% cover.,,,
KOOC-2606715-D-19,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 65% cover.,,,
KOOC-2606715-D-20,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce with 75% cover.,,,
KOOC-2606715-D-24,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 75% cover.,,,
KOOC-2606715-D-25,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 60% cover.,,,
KOOC-2606715-D-26,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce with 60% cover.,,,
KOOC-2606715-D-27,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce with 55% cover.,,,
KOOC-2606715-D-6,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce with 60% cover.,,,
KOOC-2606715-D-7,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 60% cover.,,,
KOOC-2606717-14,Wisner Trail,,Raised bog,Forested bog,Black spruce forest with 60% cover. Understory includes many ericaceous shrubs (leatherleaf*). Continuous sphagnum carpet.,,,
KOOC-2606717-17,Wisner Trail,,,Forested bog,Black spruce forest with 60% cover. Understory includes many ericaceous shrubs; few sedges and bog forbs. Continuous sphagnum carpet.,29cm,At surface,
KOOC-2606718-13,Wisner Trail,,,Transition,Black spruce forest. Understory dominated by ericaceous shrubs (Labrador tea*); many grasses; some shrubs (speckled alder). Discontinuous sphagnum carpet.,,,
KOOC-2606718-15,Wisner Trail,,,Forested bog - transition,"Black spruce forest. Understory includes many ericaceous shrubs (leatherleaf*, cranberry*); some sedges; few shrubs (bog birch). Discontinuous sphagnum carpet.",45cm,At surface,
KOOC-2606718-16,Wisner Trail,,,Disturbed forested bog (near trail),"Dense black spruce forest. Understory includes some ericaceous shrubs; few shrubs (willow, bog birch). Continuous sphagnum carpet.",43cm,At surface,
KOOC-2606719-18,Wisner Trail,,,Forested bog,Black spruce forest with 80% cover. Understory includes many ericaceous shrubs; few sedges. Continuous sphagnum carpet.,40cm,,
KOOC-2606719-19,Wisner Trail,,,Forested bog,Black spruce forest with 60% cover. Understory includes many ericaceous shrubs; few sedges and shrubs (bog birch). Continuous sphagnum carpet.,40cm,At surface,
KOOC-2606719-20,Wisner Trail,,Raised bog,Forested bog,"Black spruce forest with 50% cover. Understory includes some ericaceous shrubs; few sedges and shrubs (bog birch, willow). Continuous sphagnum carpet.",38cm,At surface,
KOOC-2606720-21,Wisner Trail,,,Transition,"Black spruce forest with 60% cover. Understory includes many ericaceous shrubs; some shrubs (willow, bog birch). Continuous sphagnum carpet.",36cm,At surface,
KOOC-2606721-44,Wisner Trail,,,Bog,Sparse black spruce. Understory includes some ericaceous shrubs; few sedges. Continuous sphagnum carpet.,45cm,At surface,
KOOC-2606721-45,Wisner Trail,,,,Sparse black spruce. Understory includes many sedges; some ericaceous shrubs. Continuous sphagnum carpet.,40cm,At surface,
KOOC-2606721-46,Wisner Trail,,,Forested bog,Black spruce forest with 70% cover. Understory includes some ericaceous shrubs; few sedges and cotton grass. Continuous sphagnum carpet.,40cm,At surface,
KOOC-2606722-43,Wisner Trail,,Raised bog,Forested bog,"Stunted black spruce with 50% cover; sparse pine. Understory dominated by sedges on ericaceous shrubs (leatherleaf*, Labrador tea*). Discontinuous moss carpet with many sphagnum mosses.",30cm,At surface,
KOOC-2606722-47,Wisner Trail,,Raised bog,Forested bog,Black spruce forest with 60% cover. Understory includes some ericaceous shrubs; few sedges and cotton grass. Continuous sphagnum carpet.,35cm,At surface,
KOOC-2606722-48,Wisner Trail,,,Forested bog,Black spruce forest with 60% cover. Understory includes some ericaceous shrubs. Continuous sphagnum carpet.,35cm,At surface,
KOOC-2606722-D-10,South Wisner,South Wisner Peatland Preliminary Survey,,Forested bog,Black spruce forest with 65% cover.,,,
KOOC-2606722-D-8,South Wisner,South Wisner Peatland Preliminary Survey,Edge of crested raised bog,Forested bog,Black spruce forest with 80% cover.,,,
KOOC-2606722-D-9,South Wisner,South Wisner Peatland Preliminary Survey,Raised bog,Forested bog,Black spruce with 50% cover.,,,
KOOC-2606723-39,Wisner Trail,,,,Stunted black spruce with 40% cover; scattered tamarack. Understory dominated by sedges and ericaceous shrubs (swamp laurel*; Labrador tea*); many grasses. Few bog forbs. Discontinuous sphagnum carpet with some other mosses.,45cm,At surface,
KOOC-2606723-40,Wisner Trail,,,,"Stunted black spruce with 35% cover. Understory includes many ericaceous shrubs, cotton grass and grasses; some bog forbs. Discontinuous sphagnum carpet.",45cm,At surface,
KOOC-2606723-41,Wisner Trail,,Edge of crested raised bog,Forested bog,Stunted black spruce with 40% cover; sparse tamarack. Understory dominated by ericaceous shrubs (leatherleaf*) and sedges; many bog forbs; some grasses. Discontinuous sphagnum carpet with some other mosses.,25cm,At surface,
KOOC-2606723-42,Wisner Trail,,,Forested bog,"Stunted black spruce with 40% cover. Understory includes many ericaceous shrubs (Labrador tea*, cranberry*); some grasses. Discontinuous sphagnum carpet with some other mosses.",30cm,At surface,
KOOC-2606723-D-11,South Wisner,South Wisner Peatland Preliminary Survey,,Forested bog,Black spruce forest with 85% cover.,,,
KOOC-2606723-D-12,South Wisner,South Wisner Peatland Preliminary Survey,,Forested bog,Black spruce with 45% cover.,,,
KOOC-2606723-D-13,South Wisner,South Wisner Peatland Preliminary Survey,Raised bog,Forested bog,Black spruce with 35% cover.,,,
KOOC-2606723-D-28,South Wisner,South Wisner Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 75% cover.,,,
KOOC-2606729-22,Wisner Trail,,,,"Tamarack forest with 60% cover; sparse black spruce and balsam fir. Understory includes many shrubs (willow, speckled alder); some ericaceous shrubs and grasses; few sedges and forbs (fern). Discontinuous sphagnum carpet.",25cm,At surface,
KOOC-2606732-23,Wisner Trail,,,Transition,Tamarack forest with 60% cover; sparse black spruce. Understory includes many ericaceous shrubs; some grasses and shrubs (speckled alder). Continuous sphagnum carpet.,Negligible,At surface,
KOOC-2606732-24,Wisner Trail,,,,"Black spruce forest with 80% cover; sparse balsam fir. Understory includes some grasses; few ericaceous shrubs, forbs (fern), and shrubs (raspberry). Continuous moss carpet with a few sphagnum mosses.",25cm,At surface,
KOOC-2606732-25,,,,Sphagnum-rich shrub swamp,"Sparse tamarack and black spruce. Understory dominated by shrubs (speckled alder); few ericaceous shrubs, cotton grass, and forbs (fern). Discontinuous sphagnum carpet.",12cm,At surface,
KOOC-2606802-366,,,Raised bog,Bog,"Stunted scattered black spruce; sparse tamarack. Understory includes some ericaceous shrubs; few sedges, cotton grass, and bog forbs. Continuous sphagnum carpet.",30cm,5cm,
KOOC-2606808-360,,,,Bog,Scattered black spruce; sparse tamarack and balsam fir. Understory dominated by ericaceous shrubs (Labrador tea*); few sedges.,20cm,,
KOOC-2606810-365,,,,Sphagnum-rich shrub fen,"Scattered northern white cedar; sparse black spruce and tamarack. Understory includes many shrubs (Bog birch*, dogwood); some ericaceous shrubs; few bog forbs. Continuous sphagnum carpet.",35cm,At surface,
KOOC-2606814-364,,,,Sphagnum-rich shrub fen,"Sparse black spruce, northern white cedar and tamarack. Understory includes many shrubs (bog birch*, dogwood); some ericaceous shrubs and sedges; few forbs (fern, aster). Continuous sphagnum carpet.",20cm,,
KOOC-2606818-361,,,,,"Sparse black spruce, tamarack, and paper birch. Understory includes few ericaceous shrubs. Discontinuous feathermoss carpet with a few sphagnum mosses.",Negligible,Not visible,
KOOC-2606828-49,Wisner Trail,,,Forested bog,Black spruce forest with 60% cover. Understory includes many ericaceous shrubs (Labrador tea). Discontinuous sphagnum carpet.,45cm,At surface,
KOOC-2606828-50,Wisner Trail,,,Bog,Scattered black spruce; Understory includes some ericaceous shrubs. Discontinuous sphagnum carpet.,40cm,At surface,
KOOC-2606828-51,Wisner Trail,,,Forested bog,Stunted black spruce with 30% cover. Understory includes many ericaceous shrubs (Labrador tea*). Continuous sphagnum carpet.,45cm,At surface,
KOOC-2606829-52,Wisner Trail,,,Transition,Stunted black spruce and tamarack with 30% cover each. Understory dominated by ericaceous shrubs (Labrador tea). Discontinuous sphagnum carpet.,10cm,At surface,
KOOC-2606829-53,Wisner Trail,,,Bog,Scattered black spruce. Understory dominated by ericaceous shrubs (Labrador tea*); few sedges. Discontinuous sphagnum carpet.,20cm,At surface,
KOOC-2606829-54,Wisner Trail,,,Disturbed (cut over),Cutover area. Sparse black spruce. Understory includes few ericaceous shrubs.,25cm,2cm,
KOOC-2606830-473,,,,Forested bog,Black spruce forest with 80% cover. Understory includes some ericaceous shrubs. Continuous sphagnum carpet.,45cm,,
KOOC-2606832-1,Wisner Trail,,,Disturbed forested bog (near cut area),"Stunted black spruce with 60% cover. Understory dominated by sedges; many ericaceous shrubs; some cotton grass, grasses and bog forbs. Discontinuous sphagnum carpet with a few other mosses.",20cm,5cm,
KOOC-2606832-55,Wisner Trail,,,Forested bog,Black spruce forest with 80% cover. Understory includes few ericaceous shrubs. Continuous sphagnum carpet.,25cm,At surface,
KOOC-2606832-56,Wisner Trail,,,Forested bog,Black spruce forest with 60% cover; sparse balsam fir. Understory includes few ericaceous shrubs and bog forbs. Discontinuous feathermoss carpet.,35cm,At surface,
KOOC-2606833-2,Wisner Trail,,,Disturbed forested bog (near trail),"Black spruce forest with 80% cover. Understory includes many ericaceous shrubs, grasses, and bog forbs. Some sedges and cotton grass. Discontinuous sphagnum carpet with a few other mosses.",15cm,At surface,
KOOC-2606833-3,Wisner Trail,,,Disturbed forested bog (near trail),Stunted black spruce with 50% cover; sparse tamarack. Understory dominated by cotton grass; many sedges and ericaceous shrubs; some grasses and bog forbs. Discontinuous sphagnum carpet.,15cm,At surface,
KOOC-2606833-57,Wisner Trail,,,,,30cm,At surface,
KOOC-2606833-58,Wisner Trail,,,Forested bog,Black spruce forest. Understory dominated by ericaceous shrubs (leatherleaf*); some sedges. Continuous sphagnum carpet.,30cm,At surface,
KOOC-2606833-59,Wisner Trail,,Crested raised bog,Forested bog,Black spruce forest w/30% cover. Understory dominated by ericaceous shrubs (leatherleaf*); few sedges. Continuous sphagnum carpet with a few other mosses.,45cm,At surface,
KOOC-2606833-60,Wisner Trail,,Crested raised bog,Forested bog,Black spruce forest with 80% cover. Understory includes some ericaceous shrubs; few sedges. Continuous sphagnum carpet.,45cm,At surface,
KOOC-2606833-61,Wisner Trail,,,,Stunted black spruce. Understory dominated by sedges; many ericaceous shrubs (leatherleaf*). Continuous sphagnum carpet.,40cm,At surface,
KOOC-2606833-8,Wisner Trail,,Raised bog,Bog,Stunted scattered black spruce. Understory includes many ericaceous shrubs (leatherleaf*); few sedges. Discontinuous sphagnum carpet with a few other mosses.,30cm,At surface,
KOOC-2606834-4,Wisner Trail,,,,Stunted black spruce with 70% cover; scattered tamarack. Understory dominated by ericaceous shrubs (leatherleaf*) and grasses; some cotton grass and bog forbs; few sedges. Some sphagnum mosses and few other mosses.,30cm,5cm,
KOOC-2606834-5,Wisner Trail,,,Transition,Stunted tamarack w/35% cover; scattered black spruce. Understory dominated by ericaceous shrubs (leatherleaf*); many grasses; some bog forbs; few sedges and cotton grass. Discontinuous sphagnum carpet.,36cm,At surface,
KOOC-2606834-6,Wisner Trail,,,Forested bog,Black spruce forest with 60% cover. Understory dominated by ericaceous shrubs (Labrador tea*); some cotton grass. Discontinuous sphagnum carpet.,25cm,10cm,
KOOC-2606834-62,Wisner Trail,,Raised bog,Bog,Sparse black spruce. Understory includes few ericaceous shrubs. Continuous sphagnum carpet.,30cm,At surface,
KOOC-2606834-63,Wisner Trail,,,,Stunted northern white cedar w/50% cover; tall scattered black spruce and tamarack. Understory includes many ericaceous shrubs and cotton grass. Some sphagnum mosses and other mosses.,34cm,10cm,
KOOC-2606835-7,Wisner Trail,,,Disturbed forested bog (near trail),Black spruce forest with 80% cover. Understory includes many grasses; some ericaceous shrubs; few cotton grass. Discontinuous sphagnum carpet.,,,
KOOC-2606836-64,Wisner Trail,,,Forested bog,Stunted black spruce w/30% cover. Understory includes many sedges; some ericaceous shrubs. Continuous sphagnum carpet.,30cm,At surface,
KOOC-2606836-E-10,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Edge of crested raised bog,Forested bog,Black spruce with 65% cover.,,,
KOOC-2606836-E-11,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 70% cover.,,,
KOOC-2606836-E-12,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce with 60% cover.,,,
KOOC-2606836-E-13,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 70% cover.,,,
KOOC-2606836-E-14,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce with 50% cover.,,,
KOOC-2606836-E-19,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Edge of crested raised bog,Forested bog,Black spruce forest with 60% cover.,,,
KOOC-2606836-E-20,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Raised bog,Forested bog,Black spruce forest with 45% cover.,,,
KOOC-2606836-E-21,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce with 45% cover.,,,
KOOC-2606836-E-22,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Edge of crested raised bog,Forested bog,Black spruce with 40% cover.,,,
KOOC-2606836-E-23,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Raised bog,Bog,Black spruce with 20% cover.,,,
KOOC-2606836-E-24,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Raised bog,Bog,Black spruce with 20% cover.,,,
KOOC-2606836-E-25,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Raised bog,Forested bog,Black spruce with 35% cover.,,,
KOOC-2606836-E-5,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce with 25% cover.,,,
KOOC-2606836-E-6,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 75% cover.,,,
KOOC-2606836-E-7,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 55% cover.,,,
KOOC-2606836-E-8,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 70% cover.,,,
KOOC-2606836-E-9,Littlefork SW,Littlefork SW Peatland Preliminary Survey,Edge of crested raised bog,Forested bog,Black spruce forest with 65% cover.,,,
KOOC-2606901-A+1200-1400,Littlefork NW,Littlefork NW Peatland Detailed Survey,,Open bog,Sparse black spruce and tamarack.,50cm,At surface,338.73 M
KOOC-2606902-372,,,,Open bog,Sparse black spruce and jack pine. Understory dominated by sedges (Carex oligiosperma); few ericaceous shrubs. Continuous sphagnum carpet.,15cm,5cm,
KOOC-2606902-A+1000+-0,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Forested bog,Black spruce with 30% cover; scattered tamarack; sparse aspen.,50cm,At surface,
KOOC-2606902-A+1000-1400,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Open bog,Sparse black spruce and tamarack.,40cm,At surface,338.91 M
KOOC-2606902-A+1200+-0,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Forested bog,Scattered black spruce.,45cm,At surface,
KOOC-2606902-A+200+-0,Littlefork NW,Littlefork NW Peatland Detailed Survey,,Disturbed (near RR grade),,,,338.16 M
KOOC-2606902-A+200-1000,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Bog,Scattered black spruce.,25cm,,338.89 M
KOOC-2606902-A+200-1400,Littlefork NW,Littlefork NW Peatland Detailed Survey,,,,,,339.10 M
KOOC-2606902-A+200-200,Littlefork NW,Littlefork NW Peatland Detailed Survey,,Bog,Sparse black spruce.,,,
KOOC-2606902-A+200-600,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Open bog,Sparse black spruce.,45cm,Above surface,338.65 M
KOOC-2606902-A+300-200,Littlefork NW,Littlefork NW Peatland Detailed Survey,,Bog,Scattered black spruce.,,,
KOOC-2606902-A+400+-0,Littlefork NW,Littlefork NW Peatland Detailed Survey,,,,,,338.17 M
KOOC-2606902-A+400-1000,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Open bog,Sparse black spruce.,,,338.93 M
KOOC-2606902-A+400-1400,Littlefork NW,Littlefork NW Peatland Detailed Survey,,Open bog,Sparse black spruce and tamarack.,50cm,At surface,339.05 M
KOOC-2606902-A+400-200,Littlefork NW,Littlefork NW Peatland Detailed Survey,,Bog,Scattered black spruce.,,,
KOOC-2606902-A+400-600,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Bog,Scattered black spruce.,45cm,Above surface,338.77 M
KOOC-2606902-A+500-200,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Bog,Scattered black spruce.,,,
KOOC-2606902-A+500-600,Littlefork NW,Littlefork NW Peatland Detailed Survey,,,,,,338.99 M
KOOC-2606902-A+600+-0,Littlefork NW,Littlefork NW Peatland Detailed Survey,,,,,,338.29 M
KOOC-2606902-A+600-1000,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Bog,Scattered black spruce.,,,339.04 M
KOOC-2606902-A+600-1400,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Bog,Scattered black spruce; sparse tamarack.,50cm,At surface,339.13 M
KOOC-2606902-A+600-200,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Bog,Scattered black spruce.,65cm,Below surface,
KOOC-2606902-A+600-600,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Forested bog,Black spruce forest with 75% cover.  Heavy forest started 100m west of this site.,,,338.92 M
KOOC-2606902-A+800+-0,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Bog,Scattered black spruce; sparse tamarack.,50cm,At surface,338.45 M
KOOC-2606902-A+800-1000,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Forested bog,Stunted black spruce with 30% cover.,,,338.98 M
KOOC-2606902-A+800-1400,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Open bog,Scattered black spruce; sparse tamarack.,50cm,At surface,339.06 M
KOOC-2606902-A+800-200,Littlefork NW,Littlefork NW Peatland Detailed Survey,Raised bog,Open bog,Sparse black spruce.,65cm,Below surface,
