DNR Peat Inventory ID #,Peatland Name,Additional Site Info,Landform Pattern,Peatland Classification,Site Vegetation,Surface Microrelief,Depth to Water Table,Measured Elevation
AITK-2205012-142,,,,Disturbed - near ditch,"Cover dominated by shrubs (bog birch) and ericaceous shrubs (Labrador tea, leatherleaf); some cotton grass.  Continuous sphagnum carpet.",35cm,At surface,
AITK-2205012-143,,,,Disturbed - near ditch,"Scattered black spruce.  Understory dominated by grasses; some shrubs (bog birch*, willow) and ericaceous shrubs (leatherleaf).  Continuous sphagnum carpet.",15cm,At surface,
AITK-2205013-141,,,,Disturbed - near ditch,"Sparse black spruce and tamarack.  Understory dominated by ericaceous shrubs (Labrador tea, leatherleaf); many shrubs (bog birch). Continuous sphagnum carpet.",40cm,15cm,
AITK-2205015-138,,,,Open bog,Cover includes many ericaceous shrubs (leatherleaf*); some cotton grass.  Continuous sphagnum carpet.,60cm,At surface,
AITK-2205104-125,Wawina,,,Transition,Scattered tamarack; sparse black spruce.  Understory includes some ericaceous shrubs (Labrador tea*) and cotton grass; few shrubs (bog birch).  Discontinuous sphagnum and other moss carpet.,30cm,At surface,
AITK-2205104-159,Wawina,,,Transition,Sparse tamarack and black spruce.  Understory dominated by cotton grass; some ericaceous shrubs (leatherleaf*); few other shrubs (bog birch).  Discontinuous sphagnum and polytrichum moss carpet.,40cm,At surface,
AITK-2205105-158,Wawina,,,Transition,"Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs (leatherleaf*); some other shrubs (bog birch), cotton grass, and forbs (false Solomon's seal).  Continuous sphagnum carpet; some polytrichum mosses.",40cm,At surface,
AITK-2205105-160,Wawina,,,Open bog,Sparse tamarack and black spruce. Understory dominated by ericaceous shrubs (leatherleaf*); some cotton grass.  Continuous sphagnum carpet; some polytrichum mosses.,30cm,10cm,
AITK-2205106-163,Wawina,,,Bog,Scattered tamarack; sparse black spruce.  Understory includes many ericaceous shrubs (leatherleaf*) and cotton grass;  Discontinuous sphagnum carpet; some polytrichum mosses.,30cm,At surface,
AITK-2205108-156,Wawina,,Water track,,Sparse tamarack.  Understory dominated by ericaceous shrubs (leatherleaf*); some grasses; few shrubs (bog birch) and forbs. Discontinuous sphagnum carpet.,35cm,At surface,
AITK-2205108-157,Wawina,,Water track,,Sparse tamarack.  Understory dominated by sedges; some ericaceous shrubs (swamp laurel*) and forbs (false Solomon's seal); few shrubs (bog birch).  Discontinuous sphagnum and polytrichum moss carpet.,60cm,At surface,
AITK-2205109-126,Wawina,,,,Scattered tamarack; sparse black spruce.  Understory dominated by cotton grass; many grasses; some shrubs (bog birch); few forbs. Discontinuous sphagnum carpet; some polytrichum mosses.,30cm,Above surface,
AITK-2205110-1,Wawina,,,Forested swamp,"Northern white cedar forest with 65% cover.  Understory dominated by shrubs (speckled alder); some ericaceous shrubs (Labrador tea), sedges and grasses; few forbs.  Discontinuous sphagnum carpet.",25cm,At surface,
AITK-2205110-17,Wawina,,,Disturbed - near ditch,"Sparse tamarack.  Understory includes many shrubs (speckled alder), ericaceous shrubs (leatherleaf), and grasses.  Discontinuous sphagnum carpet.",15cm,At surface,
AITK-2205111-15,Wawina,,,Disturbed - cut over,Tamarack forest with 80% cover surrounding clear cut.  Clear cut understory dominated by grasses; some shrubs (bog birch); few ericaceous shrubs.  Discontinuous sphagnum carpet.,20cm,At surface,
AITK-2205112-16,Wawina,,,,Scattered tamarack; sparse black spruce.  Understory dominated by grasses; some shrubs (willow).  Discontinuous sphagnum carpet.,10cm,At surface,
AITK-2205112-2,Wawina,,,Transition,"Tamarack forest with 80% cover; sparse birch.  Understory includes many ericaceous shrubs (Labrador tea, raspberry).  Continuous sphagnum carpet.",15cm,At surface,
AITK-2205114-133,Wawina,,,Shrub swamp,Sparse tamarack and paper birch.  Understory dominated by shrubs (speckled alder); many grasses; few forbs.  Some sphagnum mosses.,20cm,At surface,
AITK-2205116-153,Wawina,,,Disturbed - near ditch,"Cover dominated by grasses and shrubs (speckled alder*, willow); few forbs.",30cm,At surface,
AITK-2205118-155,Wawina,,,Forested bog,Stunted black spruce with 35% cover; sparse tamarack and paper birch. Understory dominated by ericaceous shrubs (Labrador tea*); few cotton grass and wooded bog forbs.  Continuous sphagnum carpet.,,,
AITK-2205120-154,Wawina,,,Disturbed - near ditch,Sparse black spruce.  Understory dominated by reeds; many shrubs (willow); few forbs and ericaceous shrubs.  Some sphagnum mosses.,15cm,At surface,
AITK-2205122-127,Wawina,,,Disturbed - near ditch,"Sparse tamarack.  Understory includes many grasses and shrubs (speckled alder, willow); some forbs; few ericaceous shrubs.  Some mosses.",Negligible,,
AITK-2205122-128,Wawina,,,Disturbed - near ditch,Cover dominated by grasses.,20cm,,
AITK-2205125-132,Wawina,,,Disturbed - cleared area,"Black spruce forest with 35% cover and scattered tamarack; surround clearing.  In clearing, understory dominated by grasses and reeds, some shrubs (speckled alder*, willow).",10cm,,
AITK-2205127-130,Wawina,,,"Transition - disturbed, cut over","Cover dominated by grasses; many shrubs (speckled alder*, bog birch); few forbs.  Discontinuous sphagnum carpet.",20cm,At surface,
AITK-2205128-150,Wawina,,,Disturbed - near trail,Sparse tamarack.  Understory dominated by ericaceous shrubs (leatherleaf*) and other shrubs (bog birch); some grasses. Discontinuous sphagnum carpet.,30cm,At surface,
AITK-2205129-149,Wawina,,,Disturbed - near ditch,"Sparse tamarack.  Understory dominated by ericaceous shrubs (leatherleaf); many other shrubs (bog birch*, willow); few forbs. Discontinuous sphagnum carpet.",15cm,10cm,
AITK-2205133-134,Wawina,,,Disturbed - near ditch,"Scattered black spruce.  Understory dominated by shrubs (bog birch*, willow); some ericaceous shrubs (leatherleaf*) and grasses. Discontinuous sphagnum carpet.",30cm,At surface,
AITK-2205134-129,Wawina,,,Disturbed - near ditch,"Sparse tamarack.  Understory includes some shrubs (willow*, bog birch, speckled alder), ericaceous shrubs (leatherleaf), and grasses. Discontinuous sphagnum carpet.",30cm,At surface,
AITK-2205135-131,Wawina,,,Disturbed - clear cut area,"Cover dominated by grasses and reeds: many shrubs (speckled alder*, willow); some forbs.",Negligible,Below surface,
AITK-2205135-135,Wawina,,,Disturbed - near ditch,"Cover dominated by grasses; many shrubs (bog birch, willow); few ericaceous shrubs and forbs.",20cm,At surface,
AITK-2205136-146,,,,Shrub swamp,"Cover dominated by grasses; many shrubs (speckled alder, bog birch, willow); few ericaceous shrubs.  Some mosses.",30cm,At surface,
AITK-2205201-256,Wawina,,,Transition,"Scattered black spruce and tamarack; sparse paper birch and aspen. Understory includes few ericaceous shrubs, other shrubs (willow), cotton grass, and forbs. Continuous sphagnum carpet.",20cm,At surface,
AITK-2205201-257,Wawina,,Crested raised bog,Transition,"Stunted tamarack with 35% cover; sparse black spruce.  Understory includes many ericaceous shrubs (bog rosemary*, cranberry*); few cotton grass.  Discontinuous sphagnum carpet.",25cm,At surface,
AITK-2205201-258,Wawina,,Edge of crested raised bog,"Forested bog - disturbed, near ditch","Stunted black spruce and tamarack with 40% cover each.  Understory includes many shrubs (bog birch*, willow, dogwood); few ericaceous shrubs and forbs.  Continuous sphagnum carpet.",15cm,10cm above surface,
AITK-2205201-268,Wawina,,Crested raised bog,Open bog,"Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs (leatherleaf*, cranberry*); some cotton grass; few bog forbs.  Continuous sphagnum carpet.",60cm,At surface,
AITK-2205201-585,Wawina,,,Transition,Stunted tamarack with 60% cover; scattered black spruce.  Understory includes many ericaceous shrubs (Labrador tea).  Continuous sphagnum carpet.,20cm,Below surface,
